Robustness classification report
model: ensemble
degradation: brightness
severity: 3
num_samples: 5000
num_classes: 500
nll: 0.766699

Overall metrics
top1_accuracy: 0.838400 (83.84%)
top2_accuracy: 0.900800 (90.08%)
top3_accuracy: 0.921200 (92.12%)
top4_accuracy: 0.936200 (93.62%)
top5_accuracy: 0.943800 (94.38%)
macro_precision: 0.855326 (85.53%)
macro_recall: 0.838400 (83.84%)
macro_f1: 0.837998 (83.80%)

Per-class metrics
class  precision  recall  f1_score  support
000    0.769231   1.000000  0.869565  10
001    1.000000   0.500000  0.666667  10
002    0.750000   0.900000  0.818182  10
003    0.888889   0.800000  0.842105  10
004    0.833333   1.000000  0.909091  10
005    0.750000   0.900000  0.818182  10
006    1.000000   0.800000  0.888889  10
007    1.000000   0.900000  0.947368  10
008    1.000000   0.800000  0.888889  10
009    1.000000   1.000000  1.000000  10
010    0.909091   1.000000  0.952381  10
011    0.888889   0.800000  0.842105  10
012    1.000000   0.900000  0.947368  10
013    1.000000   1.000000  1.000000  10
014    0.818182   0.900000  0.857143  10
015    0.909091   1.000000  0.952381  10
016    1.000000   0.900000  0.947368  10
017    0.900000   0.900000  0.900000  10
018    0.909091   1.000000  0.952381  10
019    0.909091   1.000000  0.952381  10
020    1.000000   0.900000  0.947368  10
021    1.000000   0.900000  0.947368  10
022    1.000000   0.600000  0.750000  10
023    1.000000   1.000000  1.000000  10
024    1.000000   1.000000  1.000000  10
025    1.000000   1.000000  1.000000  10
026    0.818182   0.900000  0.857143  10
027    1.000000   0.800000  0.888889  10
028    1.000000   0.700000  0.823529  10
029    0.909091   1.000000  0.952381  10
030    0.909091   1.000000  0.952381  10
031    0.875000   0.700000  0.777778  10
032    1.000000   0.900000  0.947368  10
033    0.888889   0.800000  0.842105  10
034    0.833333   1.000000  0.909091  10
035    0.642857   0.900000  0.750000  10
036    0.833333   1.000000  0.909091  10
037    1.000000   1.000000  1.000000  10
038    1.000000   0.700000  0.823529  10
039    0.666667   0.800000  0.727273  10
040    1.000000   0.800000  0.888889  10
041    0.833333   1.000000  0.909091  10
042    1.000000   0.800000  0.888889  10
043    1.000000   0.900000  0.947368  10
044    1.000000   0.900000  0.947368  10
045    1.000000   0.900000  0.947368  10
046    0.909091   1.000000  0.952381  10
047    1.000000   0.800000  0.888889  10
048    1.000000   1.000000  1.000000  10
049    1.000000   0.800000  0.888889  10
050    0.909091   1.000000  0.952381  10
051    1.000000   0.900000  0.947368  10
052    0.692308   0.900000  0.782609  10
053    0.875000   0.700000  0.777778  10
054    1.000000   0.900000  0.947368  10
055    0.875000   0.700000  0.777778  10
056    0.900000   0.900000  0.900000  10
057    0.833333   1.000000  0.909091  10
058    1.000000   1.000000  1.000000  10
059    1.000000   0.900000  0.947368  10
060    0.909091   1.000000  0.952381  10
061    0.714286   1.000000  0.833333  10
062    1.000000   1.000000  1.000000  10
063    0.909091   1.000000  0.952381  10
064    1.000000   0.500000  0.666667  10
065    1.000000   0.900000  0.947368  10
066    0.769231   1.000000  0.869565  10
067    0.750000   0.600000  0.666667  10
068    0.909091   1.000000  0.952381  10
069    0.909091   1.000000  0.952381  10
070    0.909091   1.000000  0.952381  10
071    0.900000   0.900000  0.900000  10
072    0.909091   1.000000  0.952381  10
073    0.909091   1.000000  0.952381  10
074    0.833333   1.000000  0.909091  10
075    1.000000   0.900000  0.947368  10
076    1.000000   0.800000  0.888889  10
077    1.000000   1.000000  1.000000  10
078    0.800000   0.800000  0.800000  10
079    0.909091   1.000000  0.952381  10
080    1.000000   0.900000  0.947368  10
081    0.888889   0.800000  0.842105  10
082    0.909091   1.000000  0.952381  10
083    1.000000   1.000000  1.000000  10
084    0.833333   0.500000  0.625000  10
085    1.000000   1.000000  1.000000  10
086    0.833333   1.000000  0.909091  10
087    0.818182   0.900000  0.857143  10
088    0.600000   0.900000  0.720000  10
089    0.900000   0.900000  0.900000  10
090    0.875000   0.700000  0.777778  10
091    1.000000   1.000000  1.000000  10
092    0.888889   0.800000  0.842105  10
093    0.909091   1.000000  0.952381  10
094    0.583333   0.700000  0.636364  10
095    0.909091   1.000000  0.952381  10
096    1.000000   0.900000  0.947368  10
097    1.000000   0.900000  0.947368  10
098    1.000000   0.900000  0.947368  10
099    1.000000   0.900000  0.947368  10
100    0.833333   1.000000  0.909091  10
101    1.000000   1.000000  1.000000  10
102    0.900000   0.900000  0.900000  10
103    0.875000   0.700000  0.777778  10
104    1.000000   0.700000  0.823529  10
105    1.000000   0.800000  0.888889  10
106    0.800000   0.800000  0.800000  10
107    1.000000   1.000000  1.000000  10
108    1.000000   0.900000  0.947368  10
109    1.000000   0.900000  0.947368  10
110    1.000000   0.900000  0.947368  10
111    1.000000   0.900000  0.947368  10
112    1.000000   1.000000  1.000000  10
113    0.909091   1.000000  0.952381  10
114    1.000000   1.000000  1.000000  10
115    0.900000   0.900000  0.900000  10
116    1.000000   1.000000  1.000000  10
117    0.909091   1.000000  0.952381  10
118    1.000000   0.900000  0.947368  10
119    1.000000   0.600000  0.750000  10
120    1.000000   0.800000  0.888889  10
121    0.538462   0.700000  0.608696  10
122    1.000000   0.500000  0.666667  10
123    0.888889   0.800000  0.842105  10
124    1.000000   1.000000  1.000000  10
125    0.818182   0.900000  0.857143  10
126    0.800000   0.800000  0.800000  10
127    0.888889   0.800000  0.842105  10
128    0.900000   0.900000  0.900000  10
129    1.000000   0.800000  0.888889  10
130    0.800000   0.800000  0.800000  10
131    0.777778   0.700000  0.736842  10
132    1.000000   0.800000  0.888889  10
133    1.000000   0.900000  0.947368  10
134    1.000000   1.000000  1.000000  10
135    0.818182   0.900000  0.857143  10
136    1.000000   0.800000  0.888889  10
137    0.818182   0.900000  0.857143  10
138    0.818182   0.900000  0.857143  10
139    0.666667   0.400000  0.500000  10
140    0.615385   0.800000  0.695652  10
141    1.000000   0.800000  0.888889  10
142    0.900000   0.900000  0.900000  10
143    0.777778   0.700000  0.736842  10
144    0.714286   1.000000  0.833333  10
145    1.000000   1.000000  1.000000  10
146    0.900000   0.900000  0.900000  10
147    1.000000   0.900000  0.947368  10
148    1.000000   1.000000  1.000000  10
149    1.000000   0.900000  0.947368  10
150    0.909091   1.000000  0.952381  10
151    0.909091   1.000000  0.952381  10
152    1.000000   0.900000  0.947368  10
153    1.000000   1.000000  1.000000  10
154    1.000000   1.000000  1.000000  10
155    0.800000   0.400000  0.533333  10
156    0.727273   0.800000  0.761905  10
157    0.666667   0.600000  0.631579  10
158    0.454545   0.500000  0.476190  10
159    0.666667   0.800000  0.727273  10
160    0.750000   0.600000  0.666667  10
161    0.636364   0.700000  0.666667  10
162    0.900000   0.900000  0.900000  10
163    0.833333   1.000000  0.909091  10
164    0.750000   0.900000  0.818182  10
165    0.636364   0.700000  0.666667  10
166    0.750000   0.600000  0.666667  10
167    1.000000   0.800000  0.888889  10
168    0.900000   0.900000  0.900000  10
169    0.692308   0.900000  0.782609  10
170    0.833333   1.000000  0.909091  10
171    0.900000   0.900000  0.900000  10
172    1.000000   0.900000  0.947368  10
173    1.000000   0.900000  0.947368  10
174    0.727273   0.800000  0.761905  10
175    0.727273   0.800000  0.761905  10
176    0.888889   0.800000  0.842105  10
177    0.888889   0.800000  0.842105  10
178    0.727273   0.800000  0.761905  10
179    1.000000   0.700000  0.823529  10
180    0.833333   0.500000  0.625000  10
181    0.727273   0.800000  0.761905  10
182    0.714286   0.500000  0.588235  10
183    0.833333   1.000000  0.909091  10
184    1.000000   0.800000  0.888889  10
185    1.000000   0.700000  0.823529  10
186    0.692308   0.900000  0.782609  10
187    0.666667   0.400000  0.500000  10
188    0.700000   0.700000  0.700000  10
189    1.000000   1.000000  1.000000  10
190    0.692308   0.900000  0.782609  10
191    0.800000   0.800000  0.800000  10
192    1.000000   0.900000  0.947368  10
193    0.625000   0.500000  0.555556  10
194    0.909091   1.000000  0.952381  10
195    0.777778   0.700000  0.736842  10
196    1.000000   0.900000  0.947368  10
197    0.538462   0.700000  0.608696  10
198    0.777778   0.700000  0.736842  10
199    0.727273   0.800000  0.761905  10
200    0.900000   0.900000  0.900000  10
201    0.900000   0.900000  0.900000  10
202    0.533333   0.800000  0.640000  10
203    0.384615   0.500000  0.434783  10
204    0.800000   0.800000  0.800000  10
205    0.900000   0.900000  0.900000  10
206    0.625000   0.500000  0.555556  10
207    0.727273   0.800000  0.761905  10
208    1.000000   1.000000  1.000000  10
209    0.666667   0.800000  0.727273  10
210    0.750000   0.900000  0.818182  10
211    1.000000   0.900000  0.947368  10
212    0.833333   0.500000  0.625000  10
213    1.000000   0.600000  0.750000  10
214    0.600000   0.900000  0.720000  10
215    0.800000   0.800000  0.800000  10
216    0.888889   0.800000  0.842105  10
217    1.000000   0.700000  0.823529  10
218    1.000000   1.000000  1.000000  10
219    0.888889   0.800000  0.842105  10
220    0.666667   0.600000  0.631579  10
221    1.000000   0.900000  0.947368  10
222    0.818182   0.900000  0.857143  10
223    0.900000   0.900000  0.900000  10
224    0.636364   0.700000  0.666667  10
225    0.727273   0.800000  0.761905  10
226    1.000000   0.900000  0.947368  10
227    0.545455   0.600000  0.571429  10
228    0.666667   0.400000  0.500000  10
229    0.666667   1.000000  0.800000  10
230    0.727273   0.800000  0.761905  10
231    1.000000   0.600000  0.750000  10
232    0.714286   0.500000  0.588235  10
233    0.800000   0.400000  0.533333  10
234    0.888889   0.800000  0.842105  10
235    0.800000   0.800000  0.800000  10
236    0.777778   0.700000  0.736842  10
237    1.000000   0.700000  0.823529  10
238    0.909091   1.000000  0.952381  10
239    0.900000   0.900000  0.900000  10
240    1.000000   0.800000  0.888889  10
241    0.800000   0.800000  0.800000  10
242    0.888889   0.800000  0.842105  10
243    1.000000   1.000000  1.000000  10
244    0.800000   0.800000  0.800000  10
245    0.800000   0.800000  0.800000  10
246    0.461538   0.600000  0.521739  10
247    0.800000   0.400000  0.533333  10
248    0.888889   0.800000  0.842105  10
249    0.800000   0.800000  0.800000  10
250    1.000000   0.700000  0.823529  10
251    1.000000   1.000000  1.000000  10
252    0.900000   0.900000  0.900000  10
253    0.636364   0.700000  0.666667  10
254    0.692308   0.900000  0.782609  10
255    0.727273   0.800000  0.761905  10
256    0.416667   0.500000  0.454545  10
257    0.769231   1.000000  0.869565  10
258    1.000000   0.800000  0.888889  10
259    0.777778   0.700000  0.736842  10
260    0.750000   0.900000  0.818182  10
261    1.000000   1.000000  1.000000  10
262    1.000000   0.700000  0.823529  10
263    1.000000   1.000000  1.000000  10
264    1.000000   1.000000  1.000000  10
265    0.636364   0.700000  0.666667  10
266    0.888889   0.800000  0.842105  10
267    0.818182   0.900000  0.857143  10
268    0.642857   0.900000  0.750000  10
269    0.769231   1.000000  0.869565  10
270    0.909091   1.000000  0.952381  10
271    0.466667   0.700000  0.560000  10
272    1.000000   0.900000  0.947368  10
273    0.642857   0.900000  0.750000  10
274    1.000000   1.000000  1.000000  10
275    1.000000   0.900000  0.947368  10
276    0.900000   0.900000  0.900000  10
277    0.900000   0.900000  0.900000  10
278    1.000000   0.800000  0.888889  10
279    0.909091   1.000000  0.952381  10
280    0.900000   0.900000  0.900000  10
281    0.900000   0.900000  0.900000  10
282    0.900000   0.900000  0.900000  10
283    1.000000   1.000000  1.000000  10
284    0.750000   0.900000  0.818182  10
285    1.000000   1.000000  1.000000  10
286    1.000000   0.800000  0.888889  10
287    0.900000   0.900000  0.900000  10
288    0.750000   0.900000  0.818182  10
289    0.888889   0.800000  0.842105  10
290    0.615385   0.800000  0.695652  10
291    1.000000   1.000000  1.000000  10
292    1.000000   0.900000  0.947368  10
293    1.000000   0.800000  0.888889  10
294    0.769231   1.000000  0.869565  10
295    0.714286   1.000000  0.833333  10
296    1.000000   0.800000  0.888889  10
297    1.000000   0.900000  0.947368  10
298    0.833333   1.000000  0.909091  10
299    0.769231   1.000000  0.869565  10
300    1.000000   0.900000  0.947368  10
301    1.000000   1.000000  1.000000  10
302    0.769231   1.000000  0.869565  10
303    1.000000   1.000000  1.000000  10
304    1.000000   1.000000  1.000000  10
305    0.800000   0.800000  0.800000  10
306    0.833333   1.000000  0.909091  10
307    0.909091   1.000000  0.952381  10
308    0.615385   0.800000  0.695652  10
309    0.666667   1.000000  0.800000  10
310    1.000000   0.900000  0.947368  10
311    0.875000   0.700000  0.777778  10
312    0.727273   0.800000  0.761905  10
313    0.727273   0.800000  0.761905  10
314    0.857143   0.600000  0.705882  10
315    0.666667   0.800000  0.727273  10
316    0.666667   1.000000  0.800000  10
317    1.000000   0.800000  0.888889  10
318    0.888889   0.800000  0.842105  10
319    1.000000   0.900000  0.947368  10
320    1.000000   0.900000  0.947368  10
321    1.000000   0.900000  0.947368  10
322    0.357143   0.500000  0.416667  10
323    0.888889   0.800000  0.842105  10
324    0.692308   0.900000  0.782609  10
325    0.727273   0.800000  0.761905  10
326    0.900000   0.900000  0.900000  10
327    0.900000   0.900000  0.900000  10
328    0.625000   1.000000  0.769231  10
329    1.000000   1.000000  1.000000  10
330    0.529412   0.900000  0.666667  10
331    0.818182   0.900000  0.857143  10
332    0.727273   0.800000  0.761905  10
333    0.666667   0.600000  0.631579  10
334    0.777778   0.700000  0.736842  10
335    0.833333   0.500000  0.625000  10
336    0.615385   0.800000  0.695652  10
337    0.777778   0.700000  0.736842  10
338    0.700000   0.700000  0.700000  10
339    0.888889   0.800000  0.842105  10
340    0.769231   1.000000  0.869565  10
341    0.666667   1.000000  0.800000  10
342    0.909091   1.000000  0.952381  10
343    0.833333   1.000000  0.909091  10
344    1.000000   0.900000  0.947368  10
345    1.000000   0.900000  0.947368  10
346    0.833333   0.500000  0.625000  10
347    0.700000   0.700000  0.700000  10
348    1.000000   0.800000  0.888889  10
349    1.000000   0.600000  0.750000  10
350    1.000000   1.000000  1.000000  10
351    1.000000   0.700000  0.823529  10
352    0.900000   0.900000  0.900000  10
353    0.636364   0.700000  0.666667  10
354    1.000000   0.600000  0.750000  10
355    1.000000   0.800000  0.888889  10
356    0.888889   0.800000  0.842105  10
357    0.900000   0.900000  0.900000  10
358    0.900000   0.900000  0.900000  10
359    0.800000   0.800000  0.800000  10
360    0.888889   0.800000  0.842105  10
361    0.900000   0.900000  0.900000  10
362    1.000000   1.000000  1.000000  10
363    0.900000   0.900000  0.900000  10
364    0.818182   0.900000  0.857143  10
365    0.888889   0.800000  0.842105  10
366    1.000000   0.900000  0.947368  10
367    0.777778   0.700000  0.736842  10
368    0.833333   1.000000  0.909091  10
369    0.666667   0.800000  0.727273  10
370    0.909091   1.000000  0.952381  10
371    0.888889   0.800000  0.842105  10
372    0.777778   0.700000  0.736842  10
373    0.666667   0.800000  0.727273  10
374    1.000000   0.700000  0.823529  10
375    0.909091   1.000000  0.952381  10
376    0.909091   1.000000  0.952381  10
377    0.900000   0.900000  0.900000  10
378    1.000000   0.900000  0.947368  10
379    1.000000   0.900000  0.947368  10
380    1.000000   0.900000  0.947368  10
381    0.636364   0.700000  0.666667  10
382    0.833333   1.000000  0.909091  10
383    0.500000   0.600000  0.545455  10
384    0.888889   0.800000  0.842105  10
385    0.750000   0.900000  0.818182  10
386    0.600000   0.900000  0.720000  10
387    0.600000   0.900000  0.720000  10
388    0.857143   0.600000  0.705882  10
389    0.600000   0.600000  0.600000  10
390    1.000000   0.500000  0.666667  10
391    1.000000   0.700000  0.823529  10
392    0.666667   0.800000  0.727273  10
393    0.700000   0.700000  0.700000  10
394    1.000000   0.500000  0.666667  10
395    0.750000   0.600000  0.666667  10
396    1.000000   1.000000  1.000000  10
397    1.000000   1.000000  1.000000  10
398    0.750000   0.900000  0.818182  10
399    0.727273   0.800000  0.761905  10
400    0.777778   0.700000  0.736842  10
401    0.900000   0.900000  0.900000  10
402    0.909091   1.000000  0.952381  10
403    1.000000   0.800000  0.888889  10
404    1.000000   0.900000  0.947368  10
405    0.769231   1.000000  0.869565  10
406    0.769231   1.000000  0.869565  10
407    0.750000   0.900000  0.818182  10
408    0.600000   0.600000  0.600000  10
409    1.000000   0.900000  0.947368  10
410    0.352941   0.600000  0.444444  10
411    0.888889   0.800000  0.842105  10
412    0.818182   0.900000  0.857143  10
413    0.818182   0.900000  0.857143  10
414    0.562500   0.900000  0.692308  10
415    0.875000   0.700000  0.777778  10
416    0.909091   1.000000  0.952381  10
417    0.909091   1.000000  0.952381  10
418    1.000000   0.900000  0.947368  10
419    0.909091   1.000000  0.952381  10
420    0.818182   0.900000  0.857143  10
421    0.750000   0.900000  0.818182  10
422    1.000000   0.600000  0.750000  10
423    0.900000   0.900000  0.900000  10
424    1.000000   1.000000  1.000000  10
425    0.800000   0.800000  0.800000  10
426    0.818182   0.900000  0.857143  10
427    0.888889   0.800000  0.842105  10
428    1.000000   0.700000  0.823529  10
429    1.000000   0.700000  0.823529  10
430    1.000000   0.900000  0.947368  10
431    0.500000   0.700000  0.583333  10
432    0.818182   0.900000  0.857143  10
433    0.888889   0.800000  0.842105  10
434    0.888889   0.800000  0.842105  10
435    0.818182   0.900000  0.857143  10
436    1.000000   0.700000  0.823529  10
437    0.727273   0.800000  0.761905  10
438    0.875000   0.700000  0.777778  10
439    0.777778   0.700000  0.736842  10
440    1.000000   0.900000  0.947368  10
441    0.583333   0.700000  0.636364  10
442    0.714286   0.500000  0.588235  10
443    1.000000   1.000000  1.000000  10
444    0.909091   1.000000  0.952381  10
445    1.000000   0.900000  0.947368  10
446    0.615385   0.800000  0.695652  10
447    1.000000   0.900000  0.947368  10
448    1.000000   0.800000  0.888889  10
449    0.600000   0.600000  0.600000  10
450    0.909091   1.000000  0.952381  10
451    1.000000   0.700000  0.823529  10
452    0.909091   1.000000  0.952381  10
453    0.750000   0.900000  0.818182  10
454    1.000000   0.900000  0.947368  10
455    0.666667   0.200000  0.307692  10
456    0.500000   0.800000  0.615385  10
457    1.000000   1.000000  1.000000  10
458    0.875000   0.700000  0.777778  10
459    1.000000   0.900000  0.947368  10
460    0.700000   0.700000  0.700000  10
461    1.000000   1.000000  1.000000  10
462    0.750000   0.900000  0.818182  10
